Ligand SMILES,Target Name,Ki (nM),pKi
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,Dimer of Gag-Pol polyprotein [489-587],1000.0,6.0
CCC(c1ccccc1)c1c(O)cc(CCc2ccccc2)oc1=O,Dimer of Gag-Pol polyprotein [489-587],500.0,6.301029995663981
CCC(Cc1ccccc1)c1cc(O)c(C(CC)c2ccccc2)c(=O)o1,Dimer of Gag-Pol polyprotein [489-587],38.0,7.42021640338319
Oc1c2CCCCCCc2oc(=O)c1C(C1CC1)c1ccccc1,Dimer of Gag-Pol polyprotein [489-587],15.0,7.823908740944319
CCC(Cc1ccccc1)c1cc(O)c(C(CC)c2ccccc2)c(=O)o1,Dimer of Gag-Pol polyprotein [514-612],32.0,7.494850021680094
O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)CN1[C@@H](Cc2ccccc2)CC2(CCCCC2)C1=O |r|,"Dimer of Gag-Pol polyprotein [501-599,Q508K,L534I,L564I,C568A,C596A]",50.0,7.301029995663981
O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)CN1[C@@H](Cc2ccccc2)CC2(CCOCC2)C1=O |r|,"Dimer of Gag-Pol polyprotein [501-599,Q508K,L534I,L564I,C568A,C596A]",23.0,7.638272163982407
O[C@@H](C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)CN1[C@@H](Cc2ccccc2)CC2(CCN(Cc3ccccc3)CC2)C1=O |r|,"Dimer of Gag-Pol polyprotein [501-599,Q508K,L534I,L564I,C568A,C596A]",2500.0,5.6020599913279625
COc1ccc(cc1)S(=O)(=O)N(C[C@@H](O)CN1[C@@H](Cc2ccccc2)COC2(CCCCC2)C1=O)CC1CCCC1 |r|,"Dimer of Gag-Pol polyprotein [501-599,Q508K,L534I,L564I,C568A,C596A]",1.7,8.769551078621726
COc1ccc(cc1)S(=O)(=O)N(C[C@@H](O)CN1[C@@H](Cc2ccccc2)C[C@H](Cc2ccccc2)C1=O)CC1CCCC1 |r|,"Dimer of Gag-Pol polyprotein [501-599,Q508K,L534I,L564I,C568A,C596A]",0.8,9.096910013008056
CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl,5-hydroxytryptamine receptor 7,480.0,6.318758762624412
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,Carbonic anhydrase 9,12.0,7.920818753952375
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1,Carbonic anhydrase 9,13.0,7.886056647693163
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(I)cc2)cc1,Carbonic anhydrase 9,10.0,8.0
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(cc2)C#N)cc1,Carbonic anhydrase 9,9.0,8.045757490560675
COc1ccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)cc1,Carbonic anhydrase 9,15.0,7.823908740944319
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,Carbonic anhydrase 9,27.0,7.568636235841013
NS(=O)(=O)Oc1ccc(NC(=O)Nc2c(F)c(F)c(F)c(F)c2F)cc1,Carbonic anhydrase 9,6.0,8.221848749616356
NS(=O)(=O)Oc1ccc(NC(=O)NCCc2ccccc2)cc1,Carbonic anhydrase 9,18.0,7.7447274948966935
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(cc2)[N+]([O-])=O)cc1,Carbonic anhydrase 9,6.0,8.221848749616356
CN(C)c1ccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)cc1,Carbonic anhydrase 9,9.0,8.045757490560675
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(F)c(F)c2F)cc1,Carbonic anhydrase 9,5.0,8.301029995663981
Cc1cc(C)cc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)c1,Carbonic anhydrase 9,7.0,8.154901959985743
CCOC(=O)c1ccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)cc1,Carbonic anhydrase 9,8.0,8.096910013008056
NS(=O)(=O)Oc1ccc(NC(=O)Nc2c(F)cc(F)cc2Br)cc1,Carbonic anhydrase 9,9.0,8.045757490560675
NS(=O)(=O)Oc1ccc(NC(=O)Nc2c(Cl)cc(Cl)cc2Cl)cc1,Carbonic anhydrase 9,11.0,7.958607314841775
NS(=O)(=O)Oc1ccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,Carbonic anhydrase 9,21.0,7.6777807052660805
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,Carbonic anhydrase 9,10.0,8.0
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,Carbonic anhydrase 9,8.0,8.096910013008056
COc1ccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)c(C)c1,Carbonic anhydrase 9,10.0,8.0
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccccc2-c2ccccc2)cc1,Carbonic anhydrase 9,59.0,7.229147988357855
COC(=O)c1ccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)cc1,Carbonic anhydrase 9,13.0,7.886056647693163
COC(=O)c1cccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)c1,Carbonic anhydrase 9,18.0,7.7447274948966935
CCOc1ccccc1NC(=O)Nc1ccc(OS(N)(=O)=O)cc1,Carbonic anhydrase 9,15.0,7.823908740944319
Cc1ccc(CNC(=O)Nc2ccc(OS(N)(=O)=O)cc2)cc1,Carbonic anhydrase 9,10.0,8.0
CC(C)c1ccccc1NC(=O)Nc1ccc(OS(N)(=O)=O)cc1,Carbonic anhydrase 9,67.0,7.173925197299173
NS(=O)(=O)Oc1ccc(NC(=O)NC2c3ccccc3-c3ccccc23)cc1,Carbonic anhydrase 9,75.0,7.1249387366083
CSc1cccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)c1,Carbonic anhydrase 9,9.0,8.045757490560675
CCOC(=O)c1ccccc1NC(=O)Nc1ccc(OS(N)(=O)=O)cc1,Carbonic anhydrase 9,8.0,8.096910013008056
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc3OCCc3c2)cc1,Carbonic anhydrase 9,7.0,8.154901959985743
CCOC(=O)c1cccc(NC(=O)Nc2ccc(OS(N)(=O)=O)cc2)c1,Carbonic anhydrase 9,12.0,7.920818753952375
NS(=O)(=O)Oc1ccc(NC(=O)NCCc2cccc3ccccc23)cc1,Carbonic anhydrase 9,15.0,7.823908740944319
NS(=O)(=O)Oc1ccc(NC(=O)NCCc2cccs2)cc1,Carbonic anhydrase 9,9.0,8.045757490560675
NS(=O)(=O)Oc1ccc(NC(=O)Nc2ccc3OCCOc3c2)cc1,Carbonic anhydrase 9,6.0,8.221848749616356
CC(C)(C)OC(=O)N1CCC(CC1)NC(=O)Nc1ccc(OS(N)(=O)=O)cc1,Carbonic anhydrase 9,7.0,8.154901959985743
NS(=O)(=O)Oc1ccc(NC(=O)NCc2ccccn2)cc1,Carbonic anhydrase 9,12.0,7.920818753952375
NS(=O)(=O)Oc1ccc(NC(=O)NCCc2ccccn2)cc1,Carbonic anhydrase 9,10.0,8.0
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(O)=O)C(=O)N(CCCCCC(O)=O)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],0.24,9.619788758288394
O=C1N(C/C=C/c2cn[nH]c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1C/C=C/c1cn[nH]c1,Dimer of Gag-Pol polyprotein [501-599],0.25,9.602059991327963
O=C1N(C/C=C/c2cn[nH]c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CC1,Dimer of Gag-Pol polyprotein [501-599],0.41,9.387216143280265
OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C1=O,Dimer of Gag-Pol polyprotein [501-599],0.8,9.096910013008056
OCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C1=O,Dimer of Gag-Pol polyprotein [501-599],0.99,9.00436480540245
CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C1=O,Dimer of Gag-Pol polyprotein [501-599],1.1,8.958607314841775
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCC2)C(=O)N(CC2CCC2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],1.3,8.886056647693163
OCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],1.4,8.853871964321762
CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC)C1=O,Dimer of Gag-Pol polyprotein [501-599],1.6,8.795880017344075
CC(C)=CCN1C(=O)N(CC=C(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],1.8,8.744727494896694
CCCCN1C(=O)N(CC=C(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],1.9,8.721246399047171
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C(=O)N(CC2CC2)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],1.9,8.721246399047171
OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],1.9,8.721246399047171
CC(C)=CCN1C(=O)N(CC2CC2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],2.0,8.698970004336019
OC(Br)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(O)Br)C1=O,Dimer of Gag-Pol polyprotein [501-599],2.0,8.698970004336019
CS(=O)(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],2.1,8.67778070526608
OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],2.2,8.657577319177793
C=CCN1C(=O)N(CC=C(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],2.3,8.638272163982407
CC(O)CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)O)C1=O,Dimer of Gag-Pol polyprotein [501-599],2.4,8.619788758288394
O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C(=O)N(CC=C)[C@@H]1Cc1ccccc1,Dimer of Gag-Pol polyprotein [501-599],3.5,8.455931955649724
CS(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,Dimer of Gag-Pol polyprotein [501-599],3.5,8.455931955649724
